Case,Distance_m,Range_sigma_um,Angle_sigma_urad,Roughness_sigma_um,Equivalent_DoubleAxis_PointSigma_mm,Measured_Point_RMS_mm,Measured_Point_P95_mm,Mean_Origin_Error_mm,P95_Origin_Error_mm,Mean_Rotation_Error_deg,P95_Rotation_Error_deg,Mean_Normal_Angle_Error_deg,P95_Normal_Angle_Error_deg,Mean_Abs_d_Error_um,P95_Abs_d_Error_um,Mean_Raw_Normal_Orthogonality_Error,OriginError_to_MeasuredPointRMS_Ratio
RangeOnly_10um,150,10,10,10,2.12134391365474,0.0099927162694652,0.0195942806405678,0.000385036331582052,0.000744414208541267,0.000106653609600033,0.00022012496541281,5.42389794986855e-05,9.52541703620198e-05,73.8505288998444,138.835274878287,9.42100292171939e-07,0.0385316986091769
RangeOnly_10um,200,10,10,10,2.82844480236048,0.0100092295180694,0.0196244548873364,0.000372437105041123,0.000707060373296503,0.000100369040132428,0.000203624875769981,5.30014655665657e-05,9.30208553701056e-05,97.272537508333,175.571019682034,9.0715457635073e-07,0.0372093680506348
AngleOnly_10urad,5,10,10,10,0.0714142842854285,0.0702703808030912,0.121691468347518,0.00304170859894195,0.00567269253788106,0.000335863295964839,0.00060572005005968,0.000433579134774639,0.000747229224570884,26.9676311729544,53.8947400660295,7.4402263544899e-06,0.043285785051675
AngleOnly_10urad,10,10,10,10,0.141774468787578,0.14057242948115,0.243278323872099,0.00557985533442752,0.0103347910858463,0.000673108131674037,0.00125596253130181,0.000820018994045361,0.00132838115972439,100.359138621562,194.287513515451,1.36682549561104e-05,0.0396938101946637
AngleOnly_10urad,50,10,10,10,0.707177488329486,0.706025468916564,1.22109099304628,0.0296871011101871,0.0547792563014186,0.00351179881749662,0.00637957681786902,0.00447124410561944,0.00767069407965686,2762.94880762591,5484.98664973021,7.75276250317775e-05,0.04204820139951
AngleOnly_10urad,100,10,10,10,1.41424891727022,1.41191821057018,2.44292563351631,0.0587848979535544,0.105300294657901,0.00721615649675584,0.0131081301024459,0.00868397234294698,0.0138192916031936,10819.7582711481,20126.9699285776,0.000145020483835846,0.0416347756643886
AngleOnly_10urad,150,10,10,10,2.12134391365474,2.12184056631923,3.67235700857395,0.0885669365119027,0.166095269446801,0.0115168244747197,0.0207643598013174,0.0131680316908583,0.0203406374264459,24022.9702924738,43017.8271617818,0.000218538646124129,0.0417406179888154
AngleOnly_10urad,200,10,10,10,2.82844480236048,2.82653117448759,4.88882814207919,0.115283718222612,0.214511456512714,0.0146681800441153,0.0275917232368308,0.0178947016800629,0.0291187447180205,44451.4468736402,83827.9614487308,0.000303447842975117,0.0407862893086652
Combined_AllRandom,5,10,10,10,0.0714142842854285,0.0717264517265,0.123126041278524,0.00314742917568847,0.00595584901656659,0.000389457971439695,0.000685243864573737,0.000449125424838674,0.000756091205087691,26.8077915421189,52.3922321667129,7.35410798032054e-06,0.043881010421231
Combined_AllRandom,10,10,10,10,0.141774468787578,0.141293148608856,0.243859421946539,0.00583858039498561,0.0107867270270999,0.000709068506916558,0.00123976003470993,0.000849698263212805,0.0013281960780498,101.283045643824,185.827240964424,1.41261990687044e-05,0.0413224593865385
Combined_AllRandom,50,10,10,10,0.707177488329486,0.706982387255933,1.22318912341677,0.0286377111308886,0.053317382281009,0.0034804891161901,0.00642386877776661,0.0043079190805528,0.0075698936491173,2658.32313355111,5275.07565333688,7.08569643342176e-05,0.0405069654451257
Combined_AllRandom,100,10,10,10,1.41424891727022,1.41408705547186,2.44456388022124,0.0553200531278914,0.100930108989123,0.00693474794504347,0.0123395810056638,0.00858186929885803,0.0139224834160294,10778.1814400317,19385.0395514056,0.000143312105859438,0.0391206841996245
Combined_AllRandom,150,10,10,10,2.12134391365474,2.1191190510022,3.66587372729267,0.0866986108752868,0.162464180836786,0.0112055649168991,0.022003626323007,0.0130954677901708,0.0215831926991422,24198.0324322649,46145.8742438561,0.000220469923243872,0.0409125720587922
Combined_AllRandom,200,10,10,10,2.82844480236048,2.82849657521585,4.89366329285778,0.120881241830069,0.228968292459678,0.0139825940184841,0.027464426482697,0.0176099094783465,0.0296729032998839,43750.210498429,79587.0444110092,0.000296452383674669,0.0427369235265363
